SAMPLE NAME,SAMPLE POSITION,METHOD,DATA FILE,SAMPLE TYPE,LEVEL NAME
BLANK,VIAL1,Ultivo Tox.m,060623_Ultivo Tox_BLANK,,
CAL0011,P1A1,Ultivo Tox.m,060623_Ultivo Tox_CAL0011,Calibration,L1
QN1123060613,P1B1,Ultivo Tox.m,060623_Ultivo Tox_QN1123060613,QC,QC1
QN1123060625,P1C1,Ultivo Tox.m,060623_Ultivo Tox_QN1123060625,QC,QC2
NEG0011,P1D1,Ultivo Tox.m,060623_Ultivo Tox_NEG0011,,
2306060963,P1A6,Ultivo Tox.m,060623_Ultivo Tox_2306060963,,
2306060964,P1A7,Ultivo Tox.m,060623_Ultivo Tox_2306060964,,
2306060953,P1A8,Ultivo Tox.m,060623_Ultivo Tox_2306060953,,
2306060955,P1A9,Ultivo Tox.m,060623_Ultivo Tox_2306060955,,
2306060943,P1A10,Ultivo Tox.m,060623_Ultivo Tox_2306060943,,
2306060984,P1A11,Ultivo Tox.m,060623_Ultivo Tox_2306060984,,
2306060939,P1B6,Ultivo Tox.m,060623_Ultivo Tox_2306060939,,
2306060946,P1B7,Ultivo Tox.m,060623_Ultivo Tox_2306060946,,
2306060950,P1B8,Ultivo Tox.m,060623_Ultivo Tox_2306060950,,
2306060935,P1B10,Ultivo Tox.m,060623_Ultivo Tox_2306060935,,
2306060985,P1B11,Ultivo Tox.m,060623_Ultivo Tox_2306060985,,
2306060979,P1C5,Ultivo Tox.m,060623_Ultivo Tox_2306060979,,
2306060952,P1C6,Ultivo Tox.m,060623_Ultivo Tox_2306060952,,
2306060940,P1C7,Ultivo Tox.m,060623_Ultivo Tox_2306060940,,
2306060936,P1C8,Ultivo Tox.m,060623_Ultivo Tox_2306060936,,
2306060949,P1C10,Ultivo Tox.m,060623_Ultivo Tox_2306060949,,
2306060987,P1C11,Ultivo Tox.m,060623_Ultivo Tox_2306060987,,
2306060977,P1D5,Ultivo Tox.m,060623_Ultivo Tox_2306060977,,
2306060961,P1D6,Ultivo Tox.m,060623_Ultivo Tox_2306060961,,
2306060934,P1D7,Ultivo Tox.m,060623_Ultivo Tox_2306060934,,
2306060978,P1D8,Ultivo Tox.m,060623_Ultivo Tox_2306060978,,
2306060942,P1D9,Ultivo Tox.m,060623_Ultivo Tox_2306060942,,
2306060945,P1D10,Ultivo Tox.m,060623_Ultivo Tox_2306060945,,
2306060986,P1D11,Ultivo Tox.m,060623_Ultivo Tox_2306060986,,
2306060974,P1E5,Ultivo Tox.m,060623_Ultivo Tox_2306060974,,
2306060966,P1E6,Ultivo Tox.m,060623_Ultivo Tox_2306060966,,
2306060957,P1E7,Ultivo Tox.m,060623_Ultivo Tox_2306060957,,
2306060973,P1E8,Ultivo Tox.m,060623_Ultivo Tox_2306060973,,
2306060965,P1E9,Ultivo Tox.m,060623_Ultivo Tox_2306060965,,
2306060937,P1E10,Ultivo Tox.m,060623_Ultivo Tox_2306060937,,
2306060982,P1E11,Ultivo Tox.m,060623_Ultivo Tox_2306060982,,
2306060972,P1F5,Ultivo Tox.m,060623_Ultivo Tox_2306060972,,
2306060959,P1F6,Ultivo Tox.m,060623_Ultivo Tox_2306060959,,
2306060938,P1F7,Ultivo Tox.m,060623_Ultivo Tox_2306060938,,
2306060968,P1F8,Ultivo Tox.m,060623_Ultivo Tox_2306060968,,
2306060962,P1F9,Ultivo Tox.m,060623_Ultivo Tox_2306060962,,
2306060980,P1F10,Ultivo Tox.m,060623_Ultivo Tox_2306060980,,
2306060981,P1F11,Ultivo Tox.m,060623_Ultivo Tox_2306060981,,
2306060971,P1G5,Ultivo Tox.m,060623_Ultivo Tox_2306060971,,
2306060976,P1G6,Ultivo Tox.m,060623_Ultivo Tox_2306060976,,
2306060975,P1G7,Ultivo Tox.m,060623_Ultivo Tox_2306060975,,
2306060960,P1G8,Ultivo Tox.m,060623_Ultivo Tox_2306060960,,
2306060958,P1G9,Ultivo Tox.m,060623_Ultivo Tox_2306060958,,
2306060989,P1G10,Ultivo Tox.m,060623_Ultivo Tox_2306060989,,
2306060983,P1G11,Ultivo Tox.m,060623_Ultivo Tox_2306060983,,
2306060967,P1H5,Ultivo Tox.m,060623_Ultivo Tox_2306060967,,
2306060969,P1H6,Ultivo Tox.m,060623_Ultivo Tox_2306060969,,
2306060970,P1H7,Ultivo Tox.m,060623_Ultivo Tox_2306060970,,
2306060956,P1H8,Ultivo Tox.m,060623_Ultivo Tox_2306060956,,
2306060954,P1H9,Ultivo Tox.m,060623_Ultivo Tox_2306060954,,
2306060988,P1H10,Ultivo Tox.m,060623_Ultivo Tox_2306060988,,
CAL0011POST,P1A1,Ultivo Tox.m,060623_Ultivo Tox_CAL0011POST,Calibration,L1
QN1123060613POST,P1B1,Ultivo Tox.m,060623_Ultivo Tox_QN1123060613POST,QC,QC1
QN1123060625POST,P1C1,Ultivo Tox.m,060623_Ultivo Tox_QN1123060625POST,QC,QC2
NEG0011POST,P1D1,Ultivo Tox.m,060623_Ultivo Tox_NEG0011POST,,
