SAMPLE NAME,SAMPLE POSITION,METHOD,DATA FILE,SAMPLE TYPE,LEVEL NAME
BLANK,VIAL1,Functional Biomarker.m,060623_Functional Biomarker_BLANK,,
CAL0003A,P1A1,Functional Biomarker.m,060623_Functional Biomarker_CAL0003A,Calibration,L1
CAL0003B,P1A2,Functional Biomarker.m,060623_Functional Biomarker_CAL0003B,Calibration,L2
CAL0003C,P1A3,Functional Biomarker.m,060623_Functional Biomarker_CAL0003C,Calibration,L3
CAL0003D,P1A4,Functional Biomarker.m,060623_Functional Biomarker_CAL0003D,Calibration,L4
QFP323060605,P1A5,Functional Biomarker.m,060623_Functional Biomarker_QFP323060605,QC,QC1
QFP323060606,P1A6,Functional Biomarker.m,060623_Functional Biomarker_QFP323060606,QC,QC2
NEG0003,P1A7,Functional Biomarker.m,060623_Functional Biomarker_NEG0003,,
F2306060224,P1A8,Functional Biomarker.m,060623_Functional Biomarker_F2306060224,,
F2306060201,P1A9,Functional Biomarker.m,060623_Functional Biomarker_F2306060201,,
F2306060195,P1A10,Functional Biomarker.m,060623_Functional Biomarker_F2306060195,,
F2306060193,P1A11,Functional Biomarker.m,060623_Functional Biomarker_F2306060193,,
F2306060192,P1A12,Functional Biomarker.m,060623_Functional Biomarker_F2306060192,,
F2306060011,P1B1,Functional Biomarker.m,060623_Functional Biomarker_F2306060011,,
F2306060057,P1B2,Functional Biomarker.m,060623_Functional Biomarker_F2306060057,,
F2306060086,P1B3,Functional Biomarker.m,060623_Functional Biomarker_F2306060086,,
F2306060074,P1B4,Functional Biomarker.m,060623_Functional Biomarker_F2306060074,,
F2306060200,P1B5,Functional Biomarker.m,060623_Functional Biomarker_F2306060200,,
F2306060101,P1B6,Functional Biomarker.m,060623_Functional Biomarker_F2306060101,,
F2306060206,P1B7,Functional Biomarker.m,060623_Functional Biomarker_F2306060206,,
F2306060025,P1B8,Functional Biomarker.m,060623_Functional Biomarker_F2306060025,,
F2306060099,P1B9,Functional Biomarker.m,060623_Functional Biomarker_F2306060099,,
F2306060010,P1B10,Functional Biomarker.m,060623_Functional Biomarker_F2306060010,,
F2306060014,P1B11,Functional Biomarker.m,060623_Functional Biomarker_F2306060014,,
F2306060097,P1B12,Functional Biomarker.m,060623_Functional Biomarker_F2306060097,,
F2306060008,P1C1,Functional Biomarker.m,060623_Functional Biomarker_F2306060008,,
F2306060021,P1C2,Functional Biomarker.m,060623_Functional Biomarker_F2306060021,,
F2306060081,P1C3,Functional Biomarker.m,060623_Functional Biomarker_F2306060081,,
F2306060068,P1C4,Functional Biomarker.m,060623_Functional Biomarker_F2306060068,,
F2306060194,P1C5,Functional Biomarker.m,060623_Functional Biomarker_F2306060194,,
F2306060197,P1C6,Functional Biomarker.m,060623_Functional Biomarker_F2306060197,,
F2306060048,P1C7,Functional Biomarker.m,060623_Functional Biomarker_F2306060048,,
F2306060123,P1C8,Functional Biomarker.m,060623_Functional Biomarker_F2306060123,,
F2306060075,P1C9,Functional Biomarker.m,060623_Functional Biomarker_F2306060075,,
F2306060076,P1C10,Functional Biomarker.m,060623_Functional Biomarker_F2306060076,,
F2306060018,P1C11,Functional Biomarker.m,060623_Functional Biomarker_F2306060018,,
F2306060035,P1C12,Functional Biomarker.m,060623_Functional Biomarker_F2306060035,,
F2306060003,P1D1,Functional Biomarker.m,060623_Functional Biomarker_F2306060003,,
F2306060019,P1D2,Functional Biomarker.m,060623_Functional Biomarker_F2306060019,,
F2306060001,P1D3,Functional Biomarker.m,060623_Functional Biomarker_F2306060001,,
F2306060196,P1D4,Functional Biomarker.m,060623_Functional Biomarker_F2306060196,,
F2306060202,P1D5,Functional Biomarker.m,060623_Functional Biomarker_F2306060202,,
F2306060205,P1D6,Functional Biomarker.m,060623_Functional Biomarker_F2306060205,,
F2306060138,P1D7,Functional Biomarker.m,060623_Functional Biomarker_F2306060138,,
F2306060189,P1D8,Functional Biomarker.m,060623_Functional Biomarker_F2306060189,,
F2306060198,P1D9,Functional Biomarker.m,060623_Functional Biomarker_F2306060198,,
F2306060191,P1D10,Functional Biomarker.m,060623_Functional Biomarker_F2306060191,,
F2306060208,P1D11,Functional Biomarker.m,060623_Functional Biomarker_F2306060208,,
F2306060203,P1D12,Functional Biomarker.m,060623_Functional Biomarker_F2306060203,,
F2306060199,P1E1,Functional Biomarker.m,060623_Functional Biomarker_F2306060199,,
F2306060188,P1E2,Functional Biomarker.m,060623_Functional Biomarker_F2306060188,,
F2306060204,P1E3,Functional Biomarker.m,060623_Functional Biomarker_F2306060204,,
F2306060210,P1E4,Functional Biomarker.m,060623_Functional Biomarker_F2306060210,,
F2306060214,P1E5,Functional Biomarker.m,060623_Functional Biomarker_F2306060214,,
F2306060209,P1E6,Functional Biomarker.m,060623_Functional Biomarker_F2306060209,,
F2306060207,P1E7,Functional Biomarker.m,060623_Functional Biomarker_F2306060207,,
